id,name,type
ballteda,1292288,50.0
a_faker,1292288,50.0
windfallchen,1292288,30.0
flowermumu,1292288,50.0
kejinlong,1292288,40.0
andysu,1292288,50.0
captainadong,1292288,50.0
rebeccafx,1292288,50.0
hexiaoqin,1292288,50.0
conanemily,1292288,40.0
MovieL,1292288,50.0
sushengkun,1292288,50.0
yuanmu,1292288,50.0
tildali1214,1292288,40.0
69290051,1292288,40.0
stscar,1292288,50.0
yalindongdong,1292288,40.0
girlpower,1292288,30.0
luzhiyu,1292288,50.0
Nokia95,1292288,50.0
JoyYoung,1292288,50.0
vividtime,1292288,50.0
51061132,1292288,50.0
catherine_koo,1292288,50.0
cloudlandlord,1292288,30.0
leo1983,1292288,50.0
ruo1996,1292288,50.0
lakeblur,1292288,50.0
problemchildren,1292288,40.0
itzhaoxiangyu,1292288,40.0
34347136,1292288,50.0
Zizou_Vam,1292288,50.0
longzheking,1292288,50.0
Gawiel,1292288,50.0
tiamopippo,1292288,50.0
stella_zhou,1292288,40.0
onegirl,1292288,40.0
evey42,1292288,50.0
93124222,1292288,50.0
jywpl,1292288,50.0
terenceyibo,1292288,40.0
superintermilan,1292288,50.0
along,1292288,30.0
Hayeky,1292288,50.0
49503327,1292288,40.0
pirealwei,1292288,50.0
3403686,1292288,50.0
Uvo,1292288,50.0
cuobility,1292288,50.0
touya0229,1292288,40.0
LadyInSatin,1292288,30.0
3198636,1292288,50.0
seabisuit,1292288,50.0
sheldon13,1292288,30.0
xiachaodongzhi,1292288,50.0
wangzhy,1292288,40.0
BlindwolfHyn,1292288,50.0
ricchhard,1292288,30.0
rebekah,1292288,50.0
1175666,1292288,50.0
feizhuangzhuang,1292288,50.0
hellotonyleung,1292288,50.0
69086827,1292288,50.0
kangbaohong,1292288,50.0
agean,1292288,30.0
149152146,1292288,50.0
oldwhom,1292288,50.0
F-Rock,1292288,50.0
songlet,1292288,50.0
145577008,1292288,40.0
1120554,1292288,50.0
141249114,1292288,50.0
Draculala,1292288,40.0
Megan34,1292288,40.0
louxing,1292288,40.0
northspy,1292288,40.0
1582961,1292288,40.0
54449997,1292288,40.0
luka90123,1292288,50.0
139314696,1292288,50.0
andyxu3586,1292288,30.0
43728521,1292288,50.0
31249640,1292288,50.0
filan,1292288,50.0
lulusea,1292288,30.0
stanleylee,1292288,40.0
54351155,1292288,50.0
fallenisland,1292288,50.0
airan712,1292288,40.0
huangrui1016,1292288,40.0
Ivy-Stein,1292288,40.0
Mel-sense,1292288,40.0
kame-sho,1292288,50.0
PiggyOgre,1292288,40.0
bettyyan,1292288,50.0
28336099,1292288,50.0
liuGrey,1292288,50.0
ladybandit,1292288,50.0
1535538,1292288,30.0
2618830,1292288,40.0
chenyuqun,1292288,50.0
curemyself,1292288,30.0
flyingtocloud,1292288,30.0
41720872,1292288,40.0
miumiu-li,1292288,40.0
jinyuanhan,1292288,40.0
EarlVampire,1292288,50.0
54424275,1292288,40.0
Kevin3,1292288,40.0
dekadeyang,1292288,50.0
150905056,1292288,40.0
wanerwanerwaner,1292288,50.0
minyancheng,1292288,50.0
bloodlove,1292288,50.0
51885129,1292288,50.0
MayaDey,1292288,50.0
hamturi,1292288,10.0
jacobchen,1292288,50.0
kuroneko2002,1292288,50.0
movie-liang,1292288,50.0
wind_whisper,1292288,40.0
wxs723,1292288,40.0
crims,1292288,50.0
KongkongFH,1292288,50.0
bxg555,1292288,40.0
yellowlantern,1292288,50.0
twelvemonkeys,1292288,50.0
gaozhiyan,1292288,30.0
lkscott,1292288,50.0
sabretooth,1292288,50.0
4242799,1292288,40.0
Litlsherry,1292288,50.0
58556474,1292288,50.0
Never-land-lee,1292288,50.0
zhanlusword,1292288,50.0
hujin,1292288,40.0
ztftom,1292288,40.0
thisisjons,1292288,50.0
hijikataT,1292288,40.0
wuxiaoru,1292288,50.0
hokey,1292288,40.0
wtfisthis,1292288,50.0
chrisdoga,1292288,30.0
young870love,1292288,40.0
1308647,1292288,50.0
ziseshiyue,1292288,30.0
162912419,1292288,50.0
mylsng13,1292288,40.0
ruila,1292288,40.0
doa,1292288,50.0
everysmilego,1292288,40.0
16014076,1292288,40.0
sinkbridge,1292288,50.0
3114482,1292288,50.0
Ziting_H,1292288,50.0
Silence25,1292288,50.0
daphneleaf,1292288,30.0
yushen,1292288,50.0
1304071,1292288,50.0
63785743,1292288,40.0
civil,1292288,50.0
51100692,1292288,50.0
83579469,1292288,50.0
74937470,1292288,40.0
ge.fat,1292288,30.0
zishimuzhi,1292288,40.0
154445010,1292288,50.0
thegreatkoala,1292288,40.0
daheiluozi,1292288,50.0
daangel,1292288,50.0
haibei_solo,1292288,40.0
wuxipaopao,1292288,40.0
45437623,1292288,50.0
122720633,1292288,40.0
maceoleen,1292288,30.0
wayne211,1292288,50.0
51680535,1292288,50.0
mimihu,1292288,40.0
Century_Movie,1292288,50.0
mumumuser,1292288,50.0
j520qqin,1292288,50.0
sunnieorz,1292288,40.0
zenyangcaidui,1292288,50.0
VinKhan,1292288,30.0
kiki0616,1292288,50.0
gionlau,1292288,40.0
joelfeng,1292288,30.0
rita.h,1292288,30.0
liaozhongchao,1292288,50.0
Bebefore,1292288,30.0
2246358,1292288,30.0
48143172,1292288,40.0
eithne,1292288,40.0
little_cupid,1292288,50.0
171331245,1292288,50.0
lm498521969,1292288,40.0
acha13,1292288,50.0
fanlinbo,1292288,50.0
ichliebeiceland,1292288,50.0
40198777,1292288,50.0
143560472,1292288,50.0
33392381,1292288,50.0
BUNNV,1292288,40.0
nocturnelee,1292288,50.0
62121031,1292288,30.0
46943365,1292288,40.0
zhangyouyou,1292288,50.0
50955988,1292288,50.0
grammophon,1297294,40.0
inameless,1297294,50.0
yinxiang,1297294,50.0
luzhiyu,1297294,50.0
Zizou_Vam,1297294,50.0
yuanmu,1297294,40.0
liusuer,1297294,30.0
3265640,1297294,40.0
wenzel,1297294,40.0
flowermumu,1297294,40.0
SWX,1297294,50.0
ljgyhj,1297294,50.0
ocean_kwai,1297294,30.0
pirealwei,1297294,40.0
56922790,1297294,40.0
MovieL,1297294,50.0
hugjm,1297294,50.0
babulliu,1297294,50.0
